Object,Count,Detection Time
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
chair,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:29
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
table,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:30
person,1,2025-02-28 01:57:30
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
person,1,2025-02-28 01:57:31
chair,1,2025-02-28 01:57:31
